V1, V2, V3
4099,22,2930
4749,17,3350
3799,22,2640
4816,20,3250
7827,15,4080
5788,18,3670
4453,26,2230
5189,20,3280
10372,16,3880
4082,19,3400
11385,14,4330
14500,14,3900
15906,21,4290
3299,29,2110
5705,16,3690
4504,22,3180
5104,22,3220
3667,24,2750
3955,19,3430
3984,30,2120
4010,18,3600
5886,16,3600
6342,17,3740
4389,28,1800
4187,21,2650
11497,12,4840
13594,12,4720
13466,14,3830
3829,22,2580
5379,14,4060
6165,15,3720
4516,18,3370
6303,14,4130
3291,20,2830
8814,21,4060
5172,19,3310
4733,19,3300
4890,18,3690
4181,19,3370
4195,24,2730
10371,16,4030
4647,28,3260
4425,34,1800
4482,25,2200
6486,26,2520
4060,18,3330
5798,18,3700
4934,18,3470
5222,19,3210
4723,19,3200
4424,19,3420
4172,24,2690
9690,17,2830
6295,23,2070
9735,25,2650
6229,23,2370
4589,35,2020
5079,24,2280
8129,21,2750
4296,21,2130
5799,25,2240
4499,28,1760
3995,30,1980
12990,14,3420
3895,26,1830
3798,35,2050
5899,18,2410
3748,31,2200
5719,18,2670
7140,23,2160
5397,41,2040
4697,25,1930
6850,25,1990
11995,17,3170
